time,open,high,low,close,volume
1777010400,77953.48,77979.54,77761.2,77789.75,280.75336
1777014000,77789.75,77855.67,77543.52,77644.6,696.90666
1777017600,77644.59,78000.0,77550.73,77785.71,731.67499
1777021200,77785.7,77804.23,77402.01,77527.69,621.09775
1777024800,77527.7,77784.0,77444.95,77752.36,379.99202
1777028400,77752.37,78372.58,77752.37,78240.26,1186.36064
1777032000,78240.27,78345.15,78016.51,78275.66,579.40035
1777035600,78275.65,78479.37,77913.27,78093.79,852.96848
1777039200,78093.8,78093.8,77681.74,78037.64,755.72516
1777042800,78037.65,78233.18,77577.22,78038.62,662.02033
1777046400,78038.63,78060.29,77586.86,77777.28,525.06319
1777050000,77776.76,77829.17,77489.6,77681.71,537.36482
1777053600,77681.72,77717.08,77363.63,77618.24,321.31558
1777057200,77618.25,77748.66,77532.46,77628.85,250.57895
1777060800,77628.84,77757.14,77458.0,77718.31,376.29595
1777064400,77718.31,77756.15,77536.48,77536.48,322.69633
1777068000,77536.49,77616.78,77264.08,77328.91,278.27896
1777071600,77328.92,77456.87,77328.92,77437.13,237.08832
1777075200,77437.13,77502.99,77309.92,77456.88,429.63681
1777078800,77456.88,77620.52,77440.8,77541.63,200.07888
1777082400,77541.63,77644.04,77504.43,77607.8,171.0703
1777086000,77607.8,77711.87,77550.27,77679.07,142.22205
1777089600,77679.08,77691.23,77596.37,77619.05,275.21191
1777093200,77619.05,77619.05,77485.51,77510.28,174.55862
1777096800,77510.27,77582.28,77489.35,77503.63,269.54814
1777100400,77503.63,77566.26,77450.0,77501.19,174.69907
1777104000,77501.19,77654.41,77491.36,77643.37,116.50084
1777107600,77643.38,77779.65,77587.1,77714.55,144.65626
1777111200,77714.56,77885.35,77714.55,77787.77,306.44644
1777114800,77787.76,77787.77,77607.03,77682.3,185.59351
1777118400,77682.29,77717.95,77550.61,77557.14,161.82067
1777122000,77557.14,77710.91,77557.14,77691.69,161.65796
1777125600,77691.7,77752.54,77638.0,77656.75,202.75966
1777129200,77656.74,77722.7,77299.89,77330.26,480.35839
1777132800,77330.25,77454.31,77140.23,77397.27,471.60364
1777136400,77397.27,77407.03,77210.96,77245.77,151.09691
1777140000,77245.78,77389.01,77216.29,77313.0,331.13304
1777143600,77313.0,77343.81,77193.79,77330.01,293.84127
1777147200,77330.0,77481.7,77311.05,77479.13,85.63447
1777150800,77479.14,77530.0,77415.2,77525.84,150.55151
1777154400,77525.83,77634.77,77498.81,77557.01,242.12513
1777158000,77557.01,77650.0,77530.0,77625.0,362.30872
1777161600,77625.0,77642.43,77445.94,77502.4,307.91239
1777165200,77502.39,77572.81,77451.16,77461.16,130.56583
1777168800,77461.16,77590.97,77452.07,77512.67,85.92459
1777172400,77512.67,77541.96,77326.51,77400.21,146.77411
1777176000,77400.21,77814.43,77383.46,77774.29,227.07196
1777179600,77774.29,78200.0,77719.77,77983.31,797.06637
1777183200,77983.31,78045.0,77899.45,77999.04,206.01822
1777186800,77999.04,78121.45,77968.36,78102.53,175.6113
1777190400,78102.53,78210.0,78019.65,78032.59,265.96473
1777194000,78032.59,78058.45,77926.59,77999.99,168.80014
1777197600,78000.0,78050.19,77954.0,78002.43,153.3474
1777201200,78002.43,78149.99,78002.42,78101.44,133.58626
